,date,total_tp,country
338,2024-12-03,0.0,PL
339,2024-12-04,0.0,PL
340,2024-12-05,0.0,PL
341,2024-12-06,0.0,PL
342,2024-12-07,0.0,PL
343,2024-12-08,0.0,PL
344,2024-12-09,0.0,PL
345,2024-12-10,0.0,PL
346,2024-12-11,0.0,PL
347,2024-12-12,0.0,PL
348,2024-12-13,0.0,PL
349,2024-12-14,0.0,PL
350,2024-12-15,0.0,PL
351,2024-12-16,0.0,PL
352,2024-12-17,0.0,PL
353,2024-12-18,0.0,PL
354,2024-12-19,0.0,PL
355,2024-12-20,0.0,PL
356,2024-12-21,0.0,PL
357,2024-12-22,0.0,PL
358,2024-12-23,0.0,PL
359,2024-12-24,0.0,PL
360,2024-12-25,0.0,PL
361,2024-12-26,0.0,PL
362,2024-12-27,0.0,PL
363,2024-12-28,0.0,PL
364,2024-12-29,0.0,PL
365,2024-12-30,0.0,PL
366,2024-12-31,0.0,PL
367,2025-01-01,0.0,PL
